Sprint,Epic ID,Epic Name,Story ID,Story Name,Status,Admin,Store User,Factory User,Developer
Sprint 1 — MVP,Epic 0,Project Setup & Infrastructure,0-1,Initialize Project with Official Supabase x Next.js Starter,done,,,,X
Sprint 1 — MVP,Epic 0,Project Setup & Infrastructure,0-2,Initialize Supabase CLI and Create Foundation Migrations,done,,,,X
Sprint 1 — MVP,Epic 0,Project Setup & Infrastructure,0-3,Configure CI/CD Pipeline and Vercel Environments,done,,,,X
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-1,User Login,done,X,X,X,
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-2,Password Reset via Email,done,X,X,X,
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-3,Change Password and Email,done,X,X,X,
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-4,Admin Create Users and Seed Initial Store Data,done,X,,,
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-5,RLS Policies — Role-Based Data Isolation,done,X,X,X,
Sprint 1 — MVP,Epic 1,Authentication & User Management,1-6,Admin Edit and Deactivate Users,done,X,,,
Sprint 1 — MVP,Epic 2,Product Catalog,2-1,Admin Manage Product Categories,done,X,,,
Sprint 1 — MVP,Epic 2,Product Catalog,2-2,Admin Manage Products,done,X,,,
Sprint 1 — MVP,Epic 2,Product Catalog,2-3,Store User Browse Product Catalog,done,,X,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-1,Store User Create and Submit Supply Order,done,,X,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-2,Store User View Own Order History and Details,done,,X,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-3,Admin View All Orders with Real-Time Updates,done,X,,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-4,Admin Approve Decline and Place Order Under Review,done,X,,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-5,Admin Edit and Delete Orders,done,X,,,
Sprint 1 — MVP,Epic 3,Order Management — Core Lifecycle,3-6,Factory User View Approved Orders and Mark as Fulfilled,done,,,X,
Sprint 2 — Post-MVP,Epic 4,Enhanced Order Management,4-1,Filter and Search Orders,done,X,X,X,
Sprint 2 — Post-MVP,Epic 4,Enhanced Order Management,4-2,Admin Aggregated Order Data View,done,X,,,
Sprint 2 — Post-MVP,Epic 5,Financial Management,5-1,Admin Configure Financial Parameters,done,X,,,
Sprint 2 — Post-MVP,Epic 5,Financial Management,5-2,Immutable Invoice Generation on Fulfillment,done,X,,X,
Sprint 2 — Post-MVP,Epic 5,Financial Management,5-3,View Invoice History,done,X,X,,
Sprint 2 — Post-MVP,Epic 6,Audit & Compliance,6-1,Admin Manage Audit Checklist Templates,done,X,,,
Sprint 2 — Post-MVP,Epic 6,Audit & Compliance,6-2,Admin Conduct Store Audit with Scoring,done,X,,,
Sprint 2 — Post-MVP,Epic 6,Audit & Compliance,6-3,Admin Attach Photo Evidence to Audit Items,done,X,,,
Sprint 2 — Post-MVP,Epic 6,Audit & Compliance,6-4,Store User View Audit Results and History,done,,X,,
Sprint 3 — Insights & Go-Live,Epic 7,Reporting & Dashboard,7-1,Admin Compliance Dashboard,done,X,,,
Sprint 3 — Insights & Go-Live,Epic 7,Reporting & Dashboard,7-2,Admin Order Analytics Dashboard,done,X,,,
Sprint 3 — Insights & Go-Live,Epic 7,Reporting & Dashboard,7-3,Admin PDF Export for Orders and Audits,done,X,,,
Sprint 3 — Insights & Go-Live,Epic 8,Notifications & Communications,8-1,Order Email Notifications,done,X,X,X,
Sprint 3 — Insights & Go-Live,Epic 8,Notifications & Communications,8-2,Audit Submitted Email Notification,done,X,X,,
